cast,comments,Director,downloadLink,genre,guide,introduction,nation,OTT,publishedYear,subtitleLink,thumbnail,title,Type,urlSubmit,urlSubmitLink,videoOTTlink,Creation Date,Modified Date,Slug,Creator,unique id
"남현우, 이과장, 강성훈, 김태영, 조정우, 김경민, 진아진, 장명운",,서주완,https://drive.google.com/drive/folders/1ofkx3ZO_cDpM98H5MgxPAXoQszkqjv5j,드라마,,"취업에 번번이 실패하던 충범에게 걸려온 지금 와줄 수 있냐는 의문의 전화. 그 날 이후 충범은 중소기업 '정승네트워크'의 일원이 됐다. 극강의 리얼리즘으로 돌아온 좋좋소 시즌4, 정승네트워크와 백인터내셔널의 처절하고도 치졸한 생존 전쟁이 펼쳐진다.",한국,watcha,2021,,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1714288732442x489393369512840500/common.jfif,좋좋소,,,,https://watcha.com/contents/tR4JrKo,"Apr 28, 2024 4:18 pm","Apr 29, 2024 12:04 am",,(deleted thing),1714288739190x715483258516564200
"박세완, 송건희, 김성오, 김태훈, 정승길, 양현민, 차주영, 허준석, 이수빈, 이지안, 황성빈",,서성원,https://drive.google.com/drive/folders/10SIUdG-NEDUOW4j5IL0jVcsA-h52GcuQ,액션,,"킬러라는 정체를 숨겨야 하는 의문의 전학생 ‘겨울’ (aka. 앨리스). 비폭력으로 학교를 평정한 잘생긴 또라이 ‘여름’. 도무지 어울리지 않을 것 같은 두 사람은 자꾸 이상하게 엮이며 묘한 핑크빛 분위기를 풍기지만 ‘겨울’의 정체를 의심하기 시작한 학교 일진들 때문에 학교생활이 좀처럼 쉽지가 않다. 여기에 도망친 킬러 ‘앨리스’를 추격하는 무자비한 범죄조직과 미치광이 킬러 ‘스파이시’까지 나타나고, 이들의 세계는 점점 핏빛으로 물들어 가는데.",한국,watcha,2022,https://drive.google.com/drive/folders/10s-WdrTsXf5N-pHyb41enUS4J8qCcSmx,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1714288767785x258904509800573800/common%20%281%29.jfif,최종병기 앨리스,,,,https://watcha.com/contents/tEojz4y,"Apr 28, 2024 4:19 pm","Apr 29, 2024 12:03 am",,(deleted thing),1714288770375x396779291866165700
"한석규, 김서형, 진호은, 조유정, 양경원, 전여진, 박수진, 정민결, 김영훈",,이호재,https://drive.google.com/drive/folders/1pwV5U6DdpN92oGpHOY2bKP3I4zqphrM8,가족,,"점점 음식을 먹을 수 없는 상태가 되어가는 다정을 챙기기 위해 남편 창욱이 소환된다. 그는 살면서 한 번도 요리해보지 않았지만, 오직 아내의 소중한 한 끼를 위해 특별한 레시피를 개발하기 시작한다.",한국,watcha,2022,https://drive.google.com/drive/folders/1xmcN4tNqCc2GqwhNz2ilbnqxwzKPqfmt,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1714314013784x208177642886155700/common%20%282%29.jfif,오늘은 좀 매울지도 몰라,,,,https://watcha.com/contents/tRX5d8Q,"Apr 28, 2024 11:20 pm","Apr 29, 2024 12:05 am",,(deleted thing),1714314016595x946868654854107600
"양동근, 진구, 장동윤, 김재화, 이홍내, 정이서, 박예린",,김보통,https://drive.google.com/drive/folders/1WjlcRKaU1NN6PnsqQLhCl83y5mlIRbd-,드라마,,"무기력한 신입사원, 한물간 유튜버, 빚에 쪼들리는 다단계 직원 등 사람다움을 잊은 채, 황폐해진 사막과 같은 인생을 살아가는 보통 사람들. 어느 날 이들 앞에 인생을 뒤집을 절대 선택의 기회가 주어진다.",한국,watcha,2022,https://drive.google.com/drive/folders/1HOYUhAzJmE5HThIb7fQnhYd4xu_DYj5g,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1714314042501x735207739637997200/common%20%283%29.jfif,사막의 왕,,,,https://watcha.com/contents/tl9gpqj,"Apr 28, 2024 11:21 pm","Apr 29, 2024 12:06 am",,(deleted thing),1714314080996x886664264075464700
"정해인, 이동휘, 탕준상, 최희서, 박소이, 표예진, 신현수, 임성재, 변중희, 오민애, 조경숙",,박정민,https://drive.google.com/drive/folders/1FLHeH_dZANQRC_Fm2pG_nMFmR4kabGPj,드라마,,"박정민, 손석구, 최희서, 이제훈 네 명의 배우가 프레임에서 벗어나 새로운 가능성을 탐색한다. 자신만의 이야기를 직접 쓰고 연출한 숏필름 프로젝트. 서로 다른 매력으로 반짝이는 네 편의 영화를 담았다.",한국,watcha,2021,https://drive.google.com/drive/folders/19U5jaHeRotIs0F7TpQ-_SA68prvgFuNL,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1714314124665x388571968511526800/common%20%284%29.jfif,언프레임드,,,,https://watcha.com/contents/tlLr4Ae,"Apr 28, 2024 11:22 pm","Apr 29, 2024 12:06 am",,(deleted thing),1714314134717x178298273746240180
"김태영, 임현수, 고도하, 박도규, 문시온, 이태형","왓챠의 콘텐츠 마케팅 정책에 따라 1~5화까지만 활용 가능하며, 결말/스포일러 노출 절대 금지",김경연,https://drive.google.com/drive/folders/1s68oxMJsbGlLfbvG-o1XGRT-8M56gfKq,로맨스,,"이번에는 다른 줄 알았는데, 그 X도 나의 흑역사가 되었다. 툭하면 남친과 프사가 바뀌는 정승네트워크의 이미나 대리. 설렘으로 가득했던 순간부터 설렘까지 포기해야 했던 순간까지, 연애에 진심인 그녀의 이야기가 펼쳐진다.",한국,watcha,2024,https://drive.google.com/drive/folders/1YqQiSTgypKuuvJy2Ck1TO8nqS-VO0Cs1,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1714314184771x822143304438902600/common%20%285%29.jfif,"미나씨, 또 프사 바뀌었네요?",,,,https://watcha.com/contents/tE15VJ0,"Apr 28, 2024 11:23 pm","Apr 29, 2024 12:09 am",,(deleted thing),1714314190590x175051302730256030
"효정, 큐, 우영, 김채원",,이예지,https://drive.google.com/drive/folders/153-qE9bu_FrHsQVUkMy6Sn_l_PNC4Y4N,다큐멘터리,,"모든 현대인의 삶은 9가지 물건으로 설명할 수 있다는 가설을 검증하기 위해 모인 K-POP 아이돌 4인. 동료, 가족, 팬 그리고 자신이 선정한 물건들을 통해 화려한 무대 밑 인간적인 모습을 진솔하게 풀어내 본다.",한국,watcha,2023,,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1714314298278x592461586755749200/common%20%286%29.jfif,다음 빈칸을 채우시오,,,,https://watcha.com/contents/tRp41ye,"Apr 28, 2024 11:25 pm","Apr 28, 2024 11:52 pm",,(deleted thing),1714314307480x869337641456627800
"김지석, 장도연, 임슬옹, ABLE, 태일, 인성, 김동한, 공민지, 효린, 초아, 전지우",,이승준,https://drive.google.com/drive/folders/1nes_8Dnc8tQWzJlOvPYCAVOxEeVySEWE,음악,,[왓챠 오리지널] 가요계 대표 아이돌 10인이 듀엣 무대로 더블 트러블을 일으키기 위해 모였다. 최고의 듀엣 자리를 놓고 펼치는 다채로운 무대가 시작된다.,한국,watcha,2021,,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1716813320338x836007803482860400/common%20%281%29.jpg,더블 트러블,,,,https://watcha.com/contents/tPJZ6Mp,"May 27, 2024 9:37 pm","May 27, 2024 9:38 pm",,(App admin),1716813453514x443245762620987400
"이금희, 박상영",,팀 awaw,https://drive.google.com/drive/folders/1WDILCpyJI4siYKpRrhBJ5K5H8_XinRlH,예능,,"[왓챠 오리지널] 낯선 이의 초대장을 따라 떠나는 여섯 번의 여행. 우리 곁 이주민들의 인생이 담긴 로컬 음식을 맛보며 이들의 삶 속에 머물러 보는, 더 다양한 세상을 꿈꾸는 한 끼의 대화가 펼쳐진다.",한국,watcha,2022,,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1716813511366x191823557035605730/common%20%282%29.jpg,조인 마이 테이블,,,,https://watcha.com/contents/tPj1A00,"May 27, 2024 9:39 pm","Jul 25, 2024 11:43 am",,(App admin),1716813576986x296905368329143600
"카를로스 수베로, 호세 로사도, 조니 워싱턴, 박찬혁, 정민철, 석장현, 하주석, 김민우",,박경원,https://drive.google.com/drive/folders/1TwLJ0Th8Nch2FnUkRrjnutUS3Gq1WLIk,다큐멘터리,,"[왓챠 오리지널] 총 144경기, 3,845시간의 기록! 4번 타자의 은퇴와 새로운 감독의 부임, 다사다난한 트레이드와 방출, 신인 드래프트 선발까지. 2021년 한화이글스의 리빌딩, 그 모든 이야기를 담았다.",한국,watcha,2022,,//6df284884688d8f802a7d2803c050581.cdn.bubble.io/f1716813614784x827401152552851400/common%20%283%29.jpg,한화이글스: 클럽하우스,,,,https://watcha.com/contents/tlxknJJ,"May 27, 2024 9:40 pm","May 27, 2024 9:40 pm",,(App admin),1716813654113x745431694548703900
